Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Brown, Angela Z",Judge Angela Brown,State,Superior Court Judge,Cobb Judicial Circuit: Brown,2024,Non-Partisan,Yes,,,
"Brown, Carla",,Gwinnett County,State Court Judge,3,2024,Other,No,,,
"Brown, Cecil",,Warren,Board of Education,5,2024,Other,No,,,
"Brown, Cobie Saleem",,State,State Representative,63,2022,Democrat,No,,,
"Brown, DeLonn Charolise",Committee to Elect De'Lonn Brown,State,State Representative,61,2024,Democrat,No,,,
"Brown, Desmond Denois",,Macon-Bibb (Cons. Gov.),Waterboard,0,2022,Other,No,,,
"Brown, James Terrence",James "J.T." Brown for Sheriff,Fulton County,Sheriff,,2024,Democrat,No,,,
"Brown, Jimmie H",Friends of Jimmie Brown,State,Superior Court Judge,Southwestern Circuit,2024,Non-Partisan,No,,,
"Brown, LaTricia Shant�",Committee to Elect LaTricia Brown,Chatham County,Board of Elections,,2022,Democrat,No,,,
"Brown, LeMario",Friends of LeMario Brown,,Commissioner of Agriculture,,2022,Democrat,No,,,
"BROWN, TONY MICHAEL",,,Lieutenant Governor,,2022,Democrat,No,,,
"brown, willie",Committee to Elect Willie Brown,Henry County,Sheriff,,2024,Democrat,No,,,
"Browning, Oliver Jackson, Jr.",,State,District Attorney,Tallapoosa,2024,Republican,No,496.98,,
"Brown-Parks, Samantha Kay","Friends of Doctor Sam, LLC",State,State Representative,54,2024,Republican,Yes,54340.88,32392.08,
"Brown-Williams, Valerie ",,State,Superior Court Judge,Dougherty Judicial Circuit: Lockette,2024,Non-Partisan,No,20239.83,17454.38,
"Brubaker, Courtney Martin",Campaign to Elect Courtney Brubaker,Cobb County,Solicitor General,,2022,Republican,No,,,
"Bruce, Roger",Committee to Elect Roger Bruce,State,State Representative,61,2022,Democrat,No,165300.32,132263.79,
"Brue, Dan Roger, II",Brue For Georgia,State,State Representative,135,2022,Republican,No,4305.62,21181.98,
"Brumley, Erendira ","Friends of Eren Brumley, LLC",State,State Representative,51,2022,Democrat,Yes,14540,9169.34,
"Bryant, Amy Barrington",Committee to Elect Amy Bryant,State,Superior Court Judge,Cordele Judicial Circuit: Fachini,2024,Non-Partisan,Yes,123097.24,21146.12,
"Bryant, Donice L",Committee to Elect Donice Bryant,Macon-Bibb (Cons. Gov.),County Commissioner,8,2024,Democrat,No,,,
"Bryant, Shanita D",Committee To Elect Shanita Wilkerson Bryant,Peach County,County Commissioner,2,2022,Democrat,No,,,
"Bucci, Dean Carlos",Bucci For Superior Court,State,Superior Court Judge,Paulding Judicial Circuit: Bucci,2024,Non-Partisan,Yes,15819.61,6076.62,
"Buckner, Debbie G",Committee to Elect Debbie Buckner,State,State Representative,137,2022,Democrat,Yes,124716.67,52094.04,
"Buis, Kirk ",,Gwinnett,Board of Education,3,2024,Non-Partisan,Yes,,,
"Burchett, James Dwayne",Burchett For House,State,State Representative,176,2024,Republican,Yes,474531.39,240955.9,
"Burke, Dean ",Dean Burke for Georgia State Senate,State,State Senator,11,2022,Unspecified,Yes,141887.75,175149.7,
"Burks, Cassaundra",,State,State Representative,64,2024,Republican,No,,,
"Burleson, Alison Teresa",Committee to Elect Alison T. Burleson,State,Superior Court Judge,Ocmulgee Judicial Circuit: Burleson,2024,Non-Partisan,No,4673.7,4113.71,
"Burney-Butler, Deitra ",Committee to Elect Judge Deitra Burney-Butler,State,Superior Court Judge,Clayton Judicial Circuit: Mack,2024,Non-Partisan,Yes,,,
"Burnough, Rhonda Michelle",The Committee to Elect Rhonda Burnough,State,State Representative,77,2024,Democrat,Yes,18802.58,16718.03,
"Burns, Adrian Clarissa",,Thomas County,County Commissioner,6,2024,Republican,No,,,
"Burns, Jon G.",Friends of Jon Burns,State,State Representative,159,2024,Republican,Yes,1176387.82,708812.16,
"Burns, Kevin L",,Chatham County,Sheriff,,2024,Other,No,,,
Burns Othell Maxie "Max",Max Burns for State Senate,State,State Senator,23,2024,Republican,Yes,315187.08,149933.32,
"Burton, Burt Anthony",,State,District Attorney,Eastern,2024,Republican,No,6849.18,6849.18,
"Busbee, Dale Robert",,State,District Attorney,Ogeechee,2024,Republican,No,86375,50670.36,
"Butler, Gloria S.",,State,State Senator,55,2024,Democrat,Yes,486527.28,311851.4,
"Butler, John Mark",Butler4GA,,Commissioner of Labor,,2022,Republican,No,45509.3,14491.3,
"Byrd, Charlice ",VOTE FOR BYRD,State,State Representative,20,2024,Republican,Yes,135154.59,103009.11,
"Byrd, Charlice ",Byrd for Senate,State,State Senator,32,2022,Republican,No,13250.39,13250.39,
"Byrne, David Christian",Committee to Elect David Byrne,State,State Representative,131,2024,Republican,No,5375.31,4028.3,
"Cady, James Edward, Jr.",,Ware County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Cairns, Benjamin Shawn",,State,State Representative,131,2024,Republican,Yes,,,
"Calhoun, Melissa Melton",,Effingham County,State Court Judge,at-Large,2024,Non-Partisan,No,,,
"Callaway, Billy D",,Paulding,Board of Education,at-Large,2024,Democrat,No,,,
"calloway, thomas, Jr.",friends of thomas calloway,State,State Representative,62,2022,Democrat,No,25664.83,21636.75,
"Calloway, Walter ",,Fulton County,Sheriff,,2024,Other,No,,,
"Cambers, Scott",,State,State Representative,129,2024,Democrat,No,,6,
"Cambers, Scott William",Cambers Election Committee,State,State Representative,129,2022,Democrat,No,7592,7592,
"Cameron, Michael DAVID",Mike Cameron House District 1,State,State Representative,1,2024,Republican,Yes,62654.32,22193.57,
"Camp, Elizabeth Anne",Beth Camp for State House,State,State Representative,135,2024,Republican,Yes,297388.72,238814.52,
"Campbell, David",,Chatham County,Coroner,,2024,Other,No,,,
"Campbell, Joseph M.","Joe Campbell for State House, Inc.",State,State Representative,171,2024,Republican,Yes,106802.25,29960.9,
"Campbell, Lisa Gayle",Friends of Lisa Campbell Inc,State,State Representative,35,2024,Democrat,No,201198.1,171864.83,
"Campos, Chaundria Monique",Friends of Chaun Campos,DeKalb County,Clerk of Superior Court,,2024,Democrat,No,,,
"Candidate, TestAutomation ",,,Attorney General,,2024,Other,No,,,
"Cannon, Charles Henry",Chas Cannon for State House,State,State Representative,172,2024,Republican,Yes,135666.45,75652.65,
"Cannon, David Lee, Jr.",,State,Superior Court Judge,Blue Ridge Judicial Circuit: Cannon,2024,Non-Partisan,No,86791.84,23342.39,
"Cannon, Park Elizabeth",The Committee to Elect Park Cannon,State,State Representative,58,2024,Democrat,Yes,115626.4,110922.84,
"Cantor, Norine Helen",Norine Cantor House 30,State,State Representative,30,2024,Republican,No,2500,1617.01,
"Cantrell, Wesley E., Jr.",Friends of Wes Cantrell,State,State Representative,22,2022,Republican,Yes,10452.54,5724.63,
"Cao, Hai Thai",,State,State Representative,107,2024,Republican,No,3755,1243.91,
"Carbaugh, Christopher Cason",,State,State Representative,178,2022,Republican,No,3940.22,3773.64,
"Carden, Kirkland",,Gwinnett County,County Commissioner,1,2024,Other,No,,,
"Cardinale, Matthew Charles",,State,State Senator,38,2022,Non-Partisan,No,13.28,13.28,
"Carmichael, Bruce",,Wilcox County,Tax Commissioner,,2022,Republican,No,,,
"Carmichael, David",,Paulding County,County Commission Chair,,2024,Other,No,,,
"Carnesale, Rachelle ",Friends of Judge Rachelle Carnesale,State,Superior Court Judge,Atlanta Judicial Circuit: Carnesale,2024,Other,Yes,94960.31,11696.88,
"Carpenter, Kasey Scott",Kasey for a Better Georgia,State,State Representative,4,2022,Republican,No,215480.61,170543.71,
"Carson, John K.",John Carson for GA House,State,State Representative,46,2022,Republican,Yes,310242.19,265319.2,
"Carson, Michael ",The Committee to Elect Michael Carson,State,State Senator,38,2022,Democrat,No,14760.99,14760.99,
"Carte, Clayton Alexander",Friends to Elect Clayton Carte,State,State Representative,117,2022,Republican,No,7883.1,7217.55,
"Cartee, Marvin Lewis",,Atlanta Public Schools,Board of Education,3,2024,Non-Partisan,No,,,
"Carter, Anthia Owens",Friends of Anthia Owens Carter LLC,State,State Representative,47,2024,Democrat,Yes,11243.57,11191.69,
"Carter, Doreen ",Friends for Doreen Carter,State,State Representative,93,2022,Democrat,Yes,54001.9,51114.4,
"Carter, Geronda V.",Committee to Re-Elect Judge Geronda V. Carter,State,Superior Court Judge,Clayton Judicial Circuit: Carter,2022,Non-Partisan,Yes,,,
"Carthan, Tarenia",Committee to Elect T. Carthan,Douglas County,County Commission Chair,,2024,Democrat,No,,,
"Casez, Thomas Claude",,State,State Representative,40,2022,Democrat,Yes,12420.99,12420.99,
"Casez, Thomas Claude",Thomas for Georgia,State,State Senator,6,2022,Democrat,Yes,,,
"Cason, Tracie Hobbs",Committee To Elect Tracie Cason,State,Superior Court Judge,Gwinnett Judicial Circuit: Cason,2022,Non-Partisan,Yes,140777.53,123310.33,
"Castater, Eric Graig",Eric for Georgia,State,State Representative,45,2024,Democrat,Yes,26219.9,19316.95,
"Castleberry, Terri Alisa",,,Governor,,2024,Non-Partisan,Yes,,,
"Castleberry, Terri Alisa",,,Governor,,2024,Other,Yes,,,
"Castleberry, Terri Alisa",,,Lieutenant Governor,,2024,Other,No,,,
"Caudell, Bobby Chan","Committee to Elect B. Chan Caudell, Superior Court Judge",State,Superior Court Judge,Mountain Judicial Circuit: Caudell,2024,Non-Partisan,No,4403.25,4248.71,
"Cavender, David Michael, Jr.",Cavender for Cobb,Cobb County,Sheriff,,2024,Republican,Yes,,,
"Chaffee, Gary Cecil",,State,State Representative,35,2024,Republican,No,1542.02,809.67,
"Chambers, Travis, Jr.",Committee to Elect Travis Chambers,Columbus-Muscogee (Cons. Gov.),City Councilperson,at-Large,2024,Non-Partisan,No,,,
"Chan, John",,State,State Representative,97,2022,Republican,No,32511.15,31112.98,
"Chance, Clint Marshall",Chance Campaign,Carroll County,County Commissioner,,2022,Republican,No,,,
"Chandler, Will",,State,State Representative,56,2022,Democrat,No,,,
"Chaney, James Kevin",Committee to Elect James Keven Chaney for Sheriff,Camden County,Sheriff,,2024,Republican,No,,,
"Chapman, Kenneth ",,Talbot County,County Commissioner,2,2022,Democrat,No,,,
"Chase, Charles Carroll, III",Friends of Charlie Chase,State,State Senator,47,2022,Republican,No,18578,17981.28,
"Chason, Margaret Claire",,State,Superior Court Judge,South Georgia Judicial Circuit: Chason,2024,Non-Partisan,No,,,
"Chastain, John Wayne, Jr.",,State,State Representative,7,2024,Republican,Yes,176703.41,108895.23,
"Chasteen, Robert W",Committee To Elect Bobby Chasteen,State,Superior Court Judge,Cordele: Robert W. Chasteen Jr.,2024,Non-Partisan,No,86.7,,
"Chawla, Krishna",Chawla For House,State,State Representative,20,2022,Republican,No,,,
"Cheek, Walter Robert",,Camden County,County Commissioner,1,2024,Republican,No,,,
"Chen, Phillip",,Fulton,Board of Education,7,2022,Other,No,,,
"Cheney, Glen A.","Committee to Re-Elect Glen A. Cheney, Superior Court Judge",State,Superior Court Judge,Atlantic Judicial Circuit: Cheney,2022,Non-Partisan,Yes,8100.75,8100.75,
"Cheokas, Michael A.",,State,State Representative,151,2024,Republican,Yes,236035.15,163813.47,
"Chester, Nick D, Sr.",Elect Nick Chester,Paulding,Board of Education,2,2022,Republican,No,,,
"Childers, Bradford Neal",Committee to Elect Bradford Childers,State,Superior Court Judge,Dublin Judicial Circuit: Gillis,2024,Non-Partisan,Yes,32000,29019.17,
"Childers, Terri Lynn",,Houston County,Clerk of Superior Court,,2024,Republican,No,,,
"Childs, Kimberly Anne",Kim Childs for Judge,State,Superior Court Judge,Cobb JudicialCircuit,2024,Non-Partisan,Yes,60424.04,16694.29,
"CHOWDHURY, AREFEEN ",Chowdhury 4 GA,State,State Representative,105,2022,Republican,No,18392.9,18392.9,
"Chowdhury, MBA, Arefeen ",Chowdhury 4 GA Inc.,Gwinnett County,Tax Commissioner,,2024,Republican,Yes,,,
"Christian, George Robert",Citizens To Elect George Christian District Attorney,State,District Attorney,Mountain,2024,Republican,Yes,,,
"Clair, Shameka Diane",Campaign Team- S Diane Clair 2024,State,State Representative,60,2024,Democrat,Yes,21252.43,16650.12,
"Clark, David ",David Clark For State House,State,State Representative,98,2024,Republican,No,172158.99,87699.25,
"Clark, Heath",Friends of Heath Clark,State,State Representative,147,2022,Republican,No,33410.68,24161.82,
"Clark, Jasmine ",Jasmine Clark for GA House,State,State Representative,108,2024,Democrat,Yes,414462.54,338910.14,
"Clark, Joshua Stephen",Friends of Josh Clark,State,State Senator,49,2024,Republican,Yes,171475,56996.35,
"Clark, Lester D.",,State,State Representative,117,2022,Republican,No,7283.97,7283.97,
"Clark, Mario DeAndre",Committee To Elect Mario Clark,South Fulton,City Councilperson,7,2022,Democrat,No,,,
"Clark, Marty ",Campaign to Elect Marty Clark,Jackson County,County Commission Chair,,2024,Republican,Yes,,,
"Clark, Marty ",,Jackson County,County Commissioner,5,2022,Republican,No,,,
"Clark, Seth",,Macon-Bibb (Cons. Gov.),County Commissioner,3,2024,Other,No,,,
"Clark, Valerie",Friends of Valerie Clark,State,State Representative,107,2022,Republican,No,,10300,
"Classens, Michael J",,Bulloch County,State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Clayton, Fredy",,State,State Senator,7,2024,Republican,Yes,2500,696.29,
"Clayton, Patrick",Committee to Elect Patrick Clayton for Sheriff,Columbia County,Sheriff,,2024,Non-Partisan,No,,,
"Clemmons, Dometrice",,Henry County,County Commissioner,2,2024,Other,No,,,
"Clemons, Chanae Q.",Committee to Elect Chanae Q. Clemons,Clayton County,Clerk of Superior Court,,2024,Democrat,No,,,
"Clemons, Curtis LeVance","Clemonsforsheriff, LLC",Gwinnett County,Sheriff,,2024,Democrat,No,,,
"Clemons, Doris joyce",,Putnam,Board of Education,1,2022,Democrat,No,,,
"Clerici, Donald B, Jr.",Friends of Don Clerici,State,State Representative,31,2022,Republican,Yes,83772.15,83772.15,
"Cleveland, Donald",,Henry County,Coroner,,2024,Other,No,,,
"Cleveland, Donald W.",Committee to elect Donald Cleveland,Henry County,Coroner,,2024,Democrat,No,,,
"Clifton, Rob",Clifton for Columbia County,State,State Representative,131,2024,Republican,Yes,108800,58117.8,
"Coan, Michael",Mike Coan for Labor Commissioner,,Commissioner of Labor,,2022,Republican,No,194260.35,194260.35,
"Coates, Lyndsey",Coates for School Board,Fulton,Board of Education,1,2024,Non-Partisan,Yes,,,
"Cobb, Bundy S",,Douglas County,County Commissioner,3,2022,Republican,No,,,
"Cobb, Holly",,Henry,Board of Education,3,2024,Other,No,,,
"Cochran-Johnson, Lorraine",,DeKalb County,County Commissioner,,2022,Democrat,No,,,
"Coffman, Kelly Lynn",Kelly Coffman for Georgia,State,State Representative,53,2022,Democrat,No,169370.13,148635.86,
"Coker, Dorothy T",,State,State Representative,34,2022,Democrat,No,9234.54,9979.54,
"Coker, Stephen Lee",,State,State Representative,6,2022,Republican,Yes,4034.99,7663.1,
"Colaninno, Laura Retired",Trees 4 Hall Committee,Hall County,County Commissioner,1,2022,Democrat,No,,,
"Colbert, Lisa Goldwire",Committee to Elect Lisa Goldwire Colbert Superior Court Judge,State,Superior Court Judge,Eastern Judicial Circuit: Colbert,2024,Non-Partisan,Yes,13200.09,1825.02,
"Cole, Charles Andrew, III",,Cobb,Board of Education,7,2024,Other,No,,,
"Cole, Marqus ",Friends of Marqus Cole,Gwinnett County,County Commissioner,3,2024,Democrat,No,,,
"Coles, James Rae, Jr.",,State,State Representative,2,2022,Republican,No,8313.44,11313.44,
"Colley, Cyrus Jerrod",Colley For Sheriff,Douglas County,Sheriff,,2024,Democrat,No,,,
"collins, james",Committee To Elect J. Collins,State,State Representative,68,2022,Republican,Yes,88398.86,52362.04,
"Collins, Toney",Collins for Georgia,,Commissioner of Agriculture,,2022,Democrat,Yes,,,
"Collins, Toney",toney collins for Georgia,State,State Representative,59,2022,Democrat,No,,,
"Conner, Nettie B",,State,State Representative,144,2022,Democrat,No,,,
"Conner, Steven McNeil",Committee to Elect Steve Conner,St. Marys,City Councilperson,2,2022,Non-Partisan,No,,,
"Conner, Toby Lane",,Bulloch County,County Commission Chair,,2022,Republican,No,,,
"Conteh, Dominique",,Douglas County,County Commissioner,4,2022,Other,No,,,
"COOK, CLARENCE Glenn",Glenn4Georgia Campaign,State,State Representative,180,2024,Republican,No,59557.99,37718.24,
"COOK, CLARENCE GLENN",GLENN COOK FOR SWCC,Glynn County,Soil and Water Conservation District Supervisor,,2022,Non-Partisan,No,,,
"Cook, Michele Mahady",,Hall,Board of Education,2,2022,Republican,No,,,
"Cook-Pope, Sophe",,Henry,Board of Education,4,2022,Other,No,,,
"Cooley, Joseph D, III",Committee to Elect Jody Cooley,State,State Senator,49,2022,Democrat,No,38983,38977.84,
"Coolidge, Elizabeth",,Chatham County,State Court Judge,0,2024,Other,No,,,
"Cooper, Domonique",,Gwinnett,Board of Education,3,2024,Democrat,No,,,
"Cooper, James L., III",,State,State Representative,145,2022,Other,No,400,400,
"Cooper, Sharon Meyer",Sharon Cooper for State House,State,State Representative,45,2024,Republican,Yes,259760.29,297239.05,
"COOPER, WANDA ARNOLD",,State,State Senator,30,2024,Democrat,Yes,,,
"Cope, Veronica",,Gwinnett County,State Court Judge,5,2024,Other,No,,,
"Coppedge, Brad ",Brad Coppedge For City Council Committee,Clarkesville,City Councilperson,2,2022,Non-Partisan,No,,,
"CORBETT, JOHN L.",Friends of John Corbett,State,State Representative,174,2022,Republican,Yes,275498.5,235561.74,
"Corbin, LaTunya",,Fayette County,Clerk of Superior Court,,2024,Democrat,Yes,,,
"Corbin, Michael Allen","Corbin for Georgia, LLC",State,State Representative,97,2024,Republican,Yes,10000,8995.9,
"Cornwell-Williams, Claire",Committee to Elect Judge Williams,Chatham County,Judge of Recorder%u2019s Court,,2022,Non-Partisan,Yes,4093.2,,
"Cortes, Yanin ",Committee to Elect Yanin,Gwinnett,Board of Education,3,2024,Non-Partisan,No,,,
"Cosby, John ",,Talbot County,Coroner,,2022,Democrat,No,,,
"COSTA, WILLIAM ",Costa 4 Cobb,Cobb County,County Commissioner,2,2024,Democrat,Yes,,,
"Covington, Henry Lee",Covington for House Seat 168,State,State Representative,168,2024,Democrat,No,,,
"Cowart, Ben",,,Commissioner of Insurance,,2024,Republican,No,,,
"Cowart, Clinton Delma, II",Committee To Elect Cowart,State,State Representative,165,2022,Other,No,474.5,474.5,
"Cowen, Martin Lindsey, III",Cowen for Georgia Attorney General,,Attorney General,,2022,Other,Yes,7770.55,8591.87,
"Cowsert, William Stone",,State,State Senator,46,2024,Republican,No,554180.57,260231.2,
"Cox, Brent Lee",,State,State Representative,28,2024,Republican,Yes,154854.68,136557.06,
